"","X","norm_foldChange","pvalue.adj.FDR","log2foldchange"
"1","Mt1",9.44945404816342,0,3.24023097856544
"2","Gh",0,0,-8.96578428466209
"3","Olfml3",0.0250943396226415,0,-5.31649420883674
"4","Fkbp5",3.35515480037527,7.96418486714856e-13,1.74637933112938
"5","Dynll1",0.299799632659876,3.18567394685942e-12,-1.73792947931373
"6","Sdc4",4.80160091480846,5.04398374919409e-12,2.26351549891336
"7","Hpgd",0.195958129920394,9.55702184057827e-12,-2.35138266610378
"8","Aif1",0.356386748161928,3.26929788796448e-10,-1.48848440201325
"9","Mt2",73.3191140278917,9.69683753046821e-10,6.19611744765974
"10","Lst1",0.300086477987421,1.3944563685571e-09,-1.7365497828822
"11","Sod2",3.90754716981132,1.3944563685571e-09,1.96626328876995
"12","Ddit4",3.56712926867301,2.09338599233e-09,1.83476349836549
"13","Klf9",4.7270732777534,2.09997176058553e-09,2.24094722912052
"14","Cd14",3.81305586836118,3.87491726007637e-09,1.93094766938481
"15","Cebpb",2.80455230545942,7.68352699243025e-09,1.48777048982064
"16","Ly86",0.509025565629339,1.169212025115e-08,-0.974189977917588
"17","Itm2b",0.475503423559107,3.37637401109598e-08,-1.07247236655869
"18","Hexa",0.455953680895909,4.11286434909286e-08,-1.13304082254978
"19","Jaml",5.48490566037736,9.33583546843633e-08,2.45546680668568
"20","Gatm",0.31870385561936,2.14714822227569e-07,-1.6497116222125
"21","Lgals3bp",0.427099989340156,3.22099321051074e-07,-1.22735423291504
"22","Dusp1",2.57054932813479,4.2664955527936e-07,1.36207669727502
"23","Cirbp",2.90756531204644,4.2664955527936e-07,1.53981159902686
"24","Zfand5",1.78134467180441,6.00292536544663e-07,0.832966690045861
"25","Kdm6b",4.03915740501422,6.0241858896859e-07,2.01405436862297
"26","Nfkbia",2.84966806429071,7.08292208115515e-07,1.51079388071905
"27","Ms4a7",0.237111870450156,8.76307166123261e-07,-2.07636020511302
"28","Ckb",0.405565084810368,1.0902634587362e-06,-1.30199463914162
"29","Ighm",0.375277888616542,1.3170941542081e-06,-1.41396880578962
"30","Mkrn1",1.49096076419042,1.32755050645065e-06,0.576242292461928
"31","Picalm",1.76478203178096,1.32900993904574e-06,0.819490007242937
"32","Ptpn1",1.67669025157233,2.14220360832476e-06,0.74561619290038
"33","Tubb2a",0.343330517225195,3.35781444503848e-06,-1.54232999671628
"34","F11r",0.381303602058319,4.64146289915822e-06,-1.39098793506087
"35","Socs3",4.37930401585787,5.51995195622165e-06,2.13070160666337
"36","Pdgfb",0.220737246680643,6.37881329938596e-06,-2.17959800778189
"37","Fosl2",4.18947873361049,6.50141474210362e-06,2.06677075103253
"38","Pim1",2.64847016828149,7.51459984088251e-06,1.40515925856366
"39","Ier3",4.24007807417046,8.59800030679374e-06,2.08409082992563
"40","Pmepa1",0.400413839093084,9.45939781817895e-06,-1.32043625746187
"41","Gngt2",0.470518867924528,1.16154055123649e-05,-1.08767551834085
"42","Dennd4a",2.7696715583508,1.44160211299886e-05,1.46971490434932
"43","Cx3cr1",0.442543438865793,1.44160211299886e-05,-1.17610902170201
"44","Per1",3.65008576329331,1.44160211299886e-05,1.86793036230069
"45","Cd38",3.33640651801029,2.32924030796432e-05,1.7382950818841
"46","Phf11b",0.343819243940106,2.40005217315081e-05,-1.54027779858803
"47","Tuba1b",0.653140346342724,2.50630919262303e-05,-0.614535064498442
"48","Tmem176a",0.555515824710895,2.90402309425346e-05,-0.848100085331048
"49","Ppfia4",0.364692824965724,2.90874128873118e-05,-1.45524627878393
"50","Nfil3",7.58285479901559,2.91767818630606e-05,2.92274109760449
"51","Slamf9",0.413075549343893,2.93183498995335e-05,-1.27552242778043
"52","Pde4b",3.0980666200792,3.06669127635802e-05,1.63136816782809
"53","Cd52",0.586706539338466,3.86471690528794e-05,-0.769289022737299
"54","Gm10076",0.516039033505489,3.86471690528794e-05,-0.954447898783499
"55","Basp1",0.760892627112222,3.92459135767333e-05,-0.394235211805012
"56","Tnfsf8",1.30206479174083,4.10066902888699e-05,0.380801239899447
"57","Marcksl1",4.06289308176101,4.10218998005993e-05,2.02250739940957
"58","Ifitm2",2.38081520956359,4.25389834749949e-05,1.25145564807903
"59","Tnfaip3",3.61287300950087,4.27807578653273e-05,1.85314654572437
"60","Ctss",0.573269603229885,4.28308573671025e-05,-0.80271431058677
"61","Tmem176b",0.617875164545853,5.60157856894622e-05,-0.694612709319272
"62","Pim3",5.14433962264151,5.60157856894622e-05,2.36298589066871
"63","Tyrobp",0.628338082230986,6.35723802044749e-05,-0.670387073484188
"64","Nfe2l2",0.568359259478323,8.50302277747381e-05,-0.815124950326199
"65","Fcgr1",0.482145405760283,9.72981646143148e-05,-1.05245979379754
"66","Ccl4",0.903831808009316,0.000101707014422306,-0.145873765085998
"67","S100a9",3.3541127142681,0.000101707014422306,1.74593117118709
"68","Rbm3",1.86479006758203,0.000115395049540842,0.899013225383626
"69","Clec4e",14.5740203193033,0.000117451930527759,3.86532700212197
"70","Mmp14",1.22018348623853,0.000124529049609682,0.287098110724261
"71","Ntpcr",0.475227678765959,0.000125425877669567,-1.07330922917065
"72","Tlr12",0,0.000125425877669567,-8.96578428466209
"73","Stk17b",2.14066409684182,0.000151042607172276,1.09805843241675
"74","Pnp",0.483082248549559,0.000189240205721272,-1.04965925474426
"75","Fcrls",0.357330402393601,0.000205081246433313,-1.48466942832909
"76","Calr",0.54424689566199,0.000221355866909331,-0.877666821460238
"77","Ints4",0,0.000226194515001016,-8.96578428466209
"78","Hist1h2ap",0.159691252144082,0.000226194515001016,-2.64664281052907
"79","Ctsz",0.619488401974708,0.00023037585080912,-0.690850822320038
"80","Actr3",0.628497072218608,0.00024296299005053,-0.670022070854998
"81","Trim30a",0.482324000811524,0.000251187610009803,-1.05192549339165
"82","Pmp22",2.58182148040639,0.000299529830023124,1.36838924919805
"83","Sp100",0.438214587440158,0.000322742299977578,-1.19029058482374
"84","Iigp1",0.594339622641509,0.000323858391572959,-0.750640531063284
"85","Txnrd1",3.97327044025157,0.000333087925848688,1.99032699366042
"86","Bst2",0.500977577249111,0.000333087925848688,-0.997182062156384
"87","Evl",0.293657165796869,0.000341112822585262,-1.76779525210235
"88","Tsc22d3",1.94572053595844,0.000341112822585262,0.960304510560971
"89","Map4k4",1.91986815185269,0.000364335401490027,0.941007236363229
"90","Dst",1.72343309477337,0.000467174771187582,0.785285293070012
"91","Bach1",1.44862778730703,0.000478145425599301,0.534686954185494
"92","C3ar1",0.474369267825711,0.000493222754627855,-1.07591754746468
"93","Timp2",0.572074025880142,0.000508792702467892,-0.80572625232395
"94","Cxcl2",10.5725332508506,0.00053439431969221,3.40224919256898
"95","Psmb8",0.621820647648053,0.000585649537115889,-0.68542957250738
"96","Gm5086",0.172216056233814,0.000595852245640742,-2.5377084389759
"97","Rgs10",0.623979539988483,0.000637802548537538,-0.680429370352853
"98","Cadm1",0.309930090956927,0.000685300154139934,-1.68998526262591
"99","Ehd1",3.97681483850336,0.000692620589946254,1.99161339146379
"100","Ctsb",0.515359631071331,0.000777423785722727,-0.956348561830603
"101","Lair1",0.485417277674585,0.000785357936817656,-1.04270263499364
"102","Atpif1",0.628405833622074,0.000785357936817656,-0.670231521354915
"103","Srsf5",1.67102860620816,0.000862437963569981,0.740736430994194
"104","Fabp5",0.514592787198472,0.000936383454837131,-0.958496859241849
"105","Srgn",1.91706757874164,0.000943174398158259,0.938901194490154
"106","Gnas",0.576900703121048,0.00112554448904793,-0.793605073144435
"107","Stat3",1.64553046705846,0.00122658131462432,0.718552738262467
"108","Pik3ip1",3.93841719077568,0.00126437516011069,1.97761594191087
"109","Axl",0.544811320754717,0.00131598976174422,-0.876171413147141
"110","S100a8",1.98507462686567,0.0013455121990511,0.989193245043416
"111","Gadd45b",3.98557158712542,0.00148263050577812,1.99478664185112
"112","Clec4d",49.561320754717,0.00148263050577812,5.63114272911509
"113","Samd9l",0.365102072378596,0.00148296238749985,-1.45362823712021
"114","Hist1h1c",1.69260478662783,0.00156394615119085,0.759245151654755
"115","Mpeg1",0.562049877983453,0.00158264610175593,-0.831229929696736
"116","Tifab",0.418238993710692,0.00158428536371603,-1.25760051978317
