"","X","norm_foldChange","pvalue.adj.FDR","log2foldchange"
"1","Id2",6.76304093567251,0,2.75767208620398
"2","Gh",0,0,-8.96578428466209
"3","Mndal",0.352257266542981,0,-1.50529862739463
"4","Ifi204",0.373427065026362,0,-1.42110160073438
"5","Ly6e",0.58430780294858,0,-0.775199539473905
"6","Pnp",0.351812865497076,0,-1.50711985298299
"7","Fth1",2.51728006658344,0,1.33186573624198
"8","Cirbp",3.94534979423868,0,1.98015321507824
"9","Tpm3-rs7",2.52807256235828,0,1.33803787326662
"10","Srgn",2.45513253012048,0,1.29580090453464
"11","Mt1",6.48695102685624,0,2.69754054725185
"12","Fkbp5",2.63718592964824,0,1.39899928918707
"13","Ifi27l2a",0.374287937743191,0,-1.4177795399396
"14","Ifi211",0.238885793871866,0,-2.06560703314001
"15","Hist1h2ap",0.207740324594257,0,-2.26714680915498
"16","Ifi203",0.328296296296296,0,-1.60692962077637
"17","Hmox1",0.299399141630901,0,-1.73985800965208
"18","Ms4a4c",0.392871287128713,4.3841473661309e-13,-1.34787136213964
"19","Ifitm3",0.562981100908517,5.81476387507887e-13,-0.828841602569786
"20","Ehd4",0.41025641025641,2.44635423030104e-12,-1.28540221886225
"21","Ctsc",0.508100358422939,1.1799619482558e-11,-0.976814613048894
"22","Tmsb10",0.422541939152687,1.52090057719595e-11,-1.24283355253446
"23","Gm9733",0.338823529411765,2.64878746955456e-11,-1.56139402958275
"24","Isg15",0.183877266387727,3.15000988256505e-11,-2.44318497129341
"25","Cd38",6.99259259259259,3.54800278046241e-11,2.80582745231101
"26","Fam111a",0.447855530474041,7.9460984800597e-11,-1.1588946730555
"27","Slfn5",0.336,8.34157105529172e-11,-1.57346686188333
"28","H2-DMa",0.436795252225519,1.04110973810277e-10,-1.19497092001221
"29","Efhd2",1.95846994535519,1.05038123792681e-10,0.969726988886198
"30","Dynll1",0.458098223615465,1.84049334912347e-10,-1.12627112641286
"31","Ly86",0.470804597701149,1.84049334912347e-10,-1.08679968562345
"32","Klf9",3.08805280528053,1.84068427167006e-10,1.62669742270476
"33","Ifi30",0.44591815320042,2.40892613792961e-10,-1.16514916233774
"34","Psap",0.633474230626622,2.40892613792961e-10,-0.658642162345817
"35","Ifi209",0.404897959183673,2.40892613792961e-10,-1.30436972350306
"36","Ms4a6b",0.507317073170732,2.70984148700551e-10,-0.979040381364353
"37","Stat1",0.422805429864253,2.90875143791156e-10,-1.24193419028614
"38","Pdcd4",1.99341430499325,4.40136091315791e-10,0.995241586564922
"39","Oas1a",0.316285240464345,4.46495057450974e-10,-1.66070186121265
"40","Ccr2",0.287922449878828,4.84575424231082e-10,-1.79624781183482
"41","Jdp2",4.28408163265306,5.36042213327175e-10,2.09898597072815
"42","Rbm3",1.58377562028047,7.10607657373159e-10,0.663367957615565
"43","H2-T23",0.598187887458274,1.08990311349676e-09,-0.741329396868746
"44","Clec12a",0.426666666666667,1.10867912830124e-09,-1.22881869049588
"45","Sdhaf1",3.57019607843137,1.12297304295023e-09,1.83600331056036
"46","Man2a1",2.07522102747909,1.69999317038886e-09,1.05326500309378
"47","Pla2g7",1.91742407610684,1.86893403826224e-09,0.939169452725477
"48","Ifi47",0.253071895424837,2.09995178653462e-09,-1.98238079519278
"49","Sp100",0.500101670297749,2.64344760140324e-09,-0.999706671353064
"50","Lyz2",0.515909752547307,2.92123104372877e-09,-0.954809376021027
"51","Socs3",3.25509933774834,2.93376826100618e-09,1.70270157162135
"52","Ets2",3.80631578947368,3.28060351533894e-09,1.92839525919688
"53","Tnfaip3",4.7816091954023,3.8249187632691e-09,2.25749622229236
"54","Fgl2",0.295384615384615,4.47764661562591e-09,-1.75933340719466
"55","Ighm",0.151919191919192,7.04981230535497e-09,-2.7186239581767
"56","Pde4b",3.35111111111111,7.04981230535497e-09,1.74463952205163
"57","Rgs1",4.07953216374269,9.11087662234323e-09,2.02840371500367
"58","Psmb8",0.642595296025953,1.2339720953859e-08,-0.638017674963299
"59","Psmb9",0.53089058524173,2.33500164288659e-08,-0.913513537802254
"60","Samhd1",0.611720291720292,2.68151200355504e-08,-0.709055961563559
"61","Clec4d",3.47132686084142,9.9249639006405e-08,1.79548721602025
"62","Stk38",0.600086021505376,1.02709940523963e-07,-0.736758770993193
"63","Lifr",2.28444444444444,1.05253958607033e-07,1.19184335797684
"64","Slc11a1",1.92482654600302,1.12490667114606e-07,0.944728444510886
"65","Ehd1",2.7751884057971,1.13567266332928e-07,1.47258571844738
"66","Cd14",2.90098715348208,1.34845699576144e-07,1.53654390682556
"67","Myo1f",0.573071895424837,1.62289231552541e-07,-0.803211949506849
"68","Itgb7",0.500310502283105,1.75058346707502e-07,-0.999104357862113
"69","Ifi207",0.524276729559748,1.77652071192289e-07,-0.931599582780573
"70","Hacd4",0.42187265917603,1.92616056488808e-07,-1.24512050282498
"71","Tent5a",2.12540763673891,1.97946958167495e-07,1.08773956553364
"72","Samd9l",0.321828571428571,2.18579880308234e-07,-1.63563568296976
"73","Dck",0.264827586206897,2.18579880308234e-07,-1.91687468418114
"74","Erp29",0.638982511923688,2.23416019438514e-07,-0.646151647762388
"75","Arap2",7.23301587301587,2.50426990150724e-07,2.85459731769176
"76","Dusp16",2.53780346820809,2.50426990150724e-07,1.34358034876136
"77","Oasl2",0.352086720867209,2.64738797544967e-07,-1.50599727864994
"78","Mcub",0.332844677137871,2.73068514000093e-07,-1.58707899806947
"79","Gbp3",0.187733333333333,3.01701005725358e-07,-2.41324326163331
"80","Cd33",2.35560878243513,3.04967055941852e-07,1.23609995745941
"81","Gm10076",0.611788013868252,3.06509362450695e-07,-0.708896252950754
"82","Prr5l",0.106666666666667,3.50724086022758e-07,-3.22881869049588
"83","Fpr2",2.08872727272727,4.49767311908212e-07,1.06262413052367
"84","Bst2",0.553959484346225,5.2150441900328e-07,-0.852147631014086
"85","Sod2",2.88565986394558,6.32448058410392e-07,1.528901257723
"86","Ly6c2",0.349900043459365,7.09154370832606e-07,-1.51498525111953
"87","Snx18",2.24578811369509,7.09154370832606e-07,1.1672218183256
"88","Lsp1",0.713270082226439,7.68660300026253e-07,-0.487479633212682
"89","Epsti1",0.514853090172239,8.16510421093269e-07,-0.957767267088165
"90","Trem1",2.69502109704641,1.24004121148226e-06,1.43029656666427
"91","Plbd1",0.644252491694352,1.25886121104358e-06,-0.634301883061476
"92","Psme2",0.608960739030023,1.35978023156323e-06,-0.715578877318231
"93","Cacybp",0.413671742808799,1.45124329527579e-06,-1.27344168191651
"94","Dnaja1",0.554152610441767,1.52325320463075e-06,-0.851644753977663
"95","Coro1a",0.715787351977828,1.54600976520407e-06,-0.482397043449465
"96","Hspa8",0.682466487935657,1.60938105174073e-06,-0.551169889698914
"97","Tagln2",0.503551155115512,1.62390588371497e-06,-0.989789747672875
"98","Pdlim1",0.27249299719888,1.97151260636636e-06,-1.87570894036024
"99","Tmpo",0.604192277383767,2.1703998454721e-06,-0.726920350827044
"100","Ptpn6",0.663703703703704,2.69181398000917e-06,-0.591388769880588
"101","Naaa",0.522320550639135,2.7088583528105e-06,-0.936992627397937
"102","Cxcl2",13.8248797250859,2.73192828502275e-06,3.78919502411574
"103","Gbp2",0.450948509485095,2.86808550358317e-06,-1.14896538280667
"104","Fcgr2b",2.10619552414605,3.03901762765103e-06,1.0746393720817
"105","Kdm6b",2.03140740740741,3.15614493312786e-06,1.02247960728695
"106","Rap2a",1.896,3.67153028338079e-06,0.922958964236172
"107","Psmb10",0.657735550277118,3.72694945492107e-06,-0.604420445563138
"108","Tnfaip8l2",0.546456361724501,3.94259547980085e-06,-0.871821803450111
"109","Irf7",0.466705767350929,4.0435465305374e-06,-1.09941479926481
"110","Arf4",0.636831683168317,4.66564948292165e-06,-0.651015981347591
"111","Rnf149",1.63495798319328,5.69237440922793e-06,0.70925356036092
"112","Atp1b3",1.53892700087951,6.17413215671579e-06,0.62192479893909
"113","Mob1a",0.63719298245614,6.3016293540105e-06,-0.650197716648552
"114","Fcgr1",0.457351598173516,6.3481913597377e-06,-1.12862440244328
