"","X","norm_foldChange","pvalue.adj.FDR","log2foldchange"
"1","Fcrls",0.301659356936701,0,-1.7290077619948
"2","Lst1",0.257132893044748,0,-1.95941391996607
"3","Gh",0.00262860254691689,0,-8.57148826630447
"4","Cltc",0.459381590705987,0,-1.12223505168771
"5","Stab1",0.435450395443088,0,-1.1994197120546
"6","Bst2",0.382569191943963,0,-1.38620739584852
"7","Dab2",0.460420488217864,0,-1.11897606160696
"8","Pik3ip1",7.02609998422962,0,2.81272410683724
"9","Ddit4",3.40242837834844,0,1.76656479309178
"10","Fkbp5",2.17096872355407,0,1.11833894166081
"11","Mt1",3.09035174279025,0,1.62777105453701
"12","Ctsc",0.477419339085932,0,-1.066671087248
"13","Igfbp4",0.373845695561513,0,-1.41948517285942
"14","Cdkn1a",7.2442140395032,0,2.85682917317487
"15","Hpgd",0.453337096091435,0,-1.14134387463541
"16","Hexa",0.55767852256493,0,-0.8424943842203
"17","Mt2",6.06163245709818,0,2.59970637795576
"18","Adgre1",0.546605788322704,0,-0.87142735741877
"19","AC149090.1",0.506780511662327,0,-0.980567048444762
"20","Klf9",2.64611865237626,0,1.40387775373938
"21","Ms4a7",0.506335635877776,0,-0.981834070258587
"22","Snx2",0.536052097234584,0,-0.899554876350665
"23","Pim3",3.14142258295281,0,1.65141802682402
"24","Tmem176b",0.560847027393123,0,-0.834320769536167
"25","Rbm3",1.74821038666704,0,0.805878815008327
"26","Cebpb",2.1638867543336,0,1.11362499859337
"27","Aif1",0.550549031307727,0,-0.861057040499132
"28","Mgl2",0.387009276391144,0,-1.36955994752773
"29","Fcgr1",0.514310472656971,0,-0.959288563992153
"30","Pnpla2",2.47550131622045,0,1.30772071637913
"31","Snx6",0.538650062514385,0,-0.892579773728031
"32","Ttr",1.6628006372149,0,0.733615205941534
"33","Gm42418",0.650510814632445,0,-0.620355053183485
"34","Clta",0.644335214687511,0,-0.634116650730652
"35","Cirbp",2.19674981544081,0,1.13537057273091
"36","Tpm3",0.592938369404341,0,-0.7540459374609
"37","Itm2b",0.653243906338392,0,-0.61430633318575
"38","Drap1",1.63065809503642,0,0.70545431957038
"39","Hacd4",0.427645586027589,0,-1.22551244568649
"40","Ccl3",2.13466711104716,0,1.09401110746349
"41","Ehd4",0.612706019849597,0,-0.706733068993214
"42","Marcks",0.583884508323622,0,-0.776245060963982
"43","Gas6",0.613893984290485,0,-0.703938562328115
"44","Pf4",0.546735206029534,0,-0.871085816608203
"45","Olfml3",0.0920997342707834,0,-3.44065919596383
"46","Trim12a",0.0682674748416676,0,-3.87265780102503
"47","Nrp1",0.597476031431686,0,-0.743047256318216
"48","Folr2",0.474660008724784,0,-1.07503359061158
"49","Dynll1",0.347462579716709,0,-1.52507048097659
"50","Tuba1b",0.577874215088785,0,-0.791172596999213
"51","Tmsb4x",0.686035688774185,0,-0.543644465022423
"52","Emp3",0.570167788813064,0,-0.810541557246534
"53","Hspa5",0.624423350964906,0,-0.679403605471353
"54","Cyth4",0.61766148495371,0,-0.695111722426042
"55","Ifi203",0.487891646464684,0,-1.03536731280634
"56","S100a9",2.21316651772416,0,1.14611200299481
"57","Calr",0.597461606409521,0,-0.743082088107397
"58","Ighm",0.428808966972791,0,-1.22159302008068
"59","Pltp",0.497861275171844,0,-1.00618429135378
"60","Eps15",0.570324240493394,0,-0.810145742003697
"61","Tmem176a",0.543309258879371,0,-0.880154461782905
"62","Lcp1",0.6511477287852,0,-0.618943203712467
"63","Tubb2a",0.405282719961004,0,-1.30299943037856
"64","Tpm3-rs7",2.14170447514952,0,1.09875942236166
"65","Nfxl1",0.479076335793643,0,-1.06167254227352
"66","Cd36",0.41867907032998,0,-1.25608329499844
"67","Atpif1",0.636303099288158,0,-0.652213946240114
"68","Aldh2",0.603473224719874,0,-0.728638332889322
"69","Gcnt1",1.97201895790346,0,0.979673421057529
"70","Lars2",0.698766249331708,0,-0.517118167653972
"71","Sik1",3.64013848134935,0,1.86399333574147
"72","Gpx3",1.69761865219646,0,0.763512412734014
"73","Pfkfb3",2.91085175984455,0,1.5414413695937
"74","S100a8",2.41435044411515,0,1.27163509916352
"75","Ccl12",0.318030010874884,0,-1.65276518315928
"76","Itsn1",0.51408835108567,0,-0.959911772978735
"77","Il10rb",0.655793321959542,0,-0.608686884258715
"78","Rgs1",2.96942488618284,0,1.57018353904097
"79","Id2",3.3173398621851,0,1.73002682411617
"80","2410006H16Rik",1.66720414322226,0,0.737430768021034
"81","Fxyd5",2.35756983883107,0,1.23730050881887
"82","Cdc42",0.695161931208353,0,-0.524579016130788
"83","Tns1",4.58810626370948,0,2.19789880555412
"84","S100a10",2.78661534453344,0,1.47851387117749
"85","Cxcr4",3.0627056010434,0,1.61480669624562
"86","Nfkbia",1.77865939359417,0,0.8307902665245
"87","Ccl4",0.92502357534759,0,-0.112437959957188
"88","Ang",0.516040576194732,0,-0.954443585879534
"89","St13",0.610882986515792,0,-0.711032033894794
"90","Bank1",0.368942801193493,0,-1.43853092854996
"91","Nrros",0.658117962466488,0,-0.603581896014319
"92","Vapa",1.56634250468031,0,0.647399714401187
"93","Slc40a1",0.551903601902922,0,-0.857511793828624
"94","Trp53inp1",3.0609756097561,0,1.61399154933269
"95","Ifitm3",0.578837874831547,0,-0.788768770730352
"96","Hspa8",0.676824947397186,0,-0.56314534849971
"97","Tlr7",1.51834006721293,0,0.602494951712201
"98","App",0.690601036719781,0,-0.534075594942567
"99","Dennd4a",2.38657519191381,0,1.25494179094376
"100","Gm10076",0.603096009961075,0,-0.729540404422322
"101","Mndal",0.552717442386104,0,-0.855385953754011
"102","Pdia3",0.697581213121934,0,-0.51956690812801
"103","Ccl7",0.543873293131557,0,-0.878657510806232
"104","Tslp",0.45582149868464,0,-1.13345912439939
"105","Abhd12",0.645922285109059,0,-0.630567499058488
"106","Clec12a",0.253213012354551,1.61542277139589e-14,-1.98157654961157
"107","Cfp",0.445885430259318,1.61542277139589e-14,-1.16525503593087
"108","Pla2g7",1.48318661090029,1.61542277139589e-14,0.568700125562772
"109","Srgn",1.80780655691696,1.61542277139589e-14,0.85424031143263
"110","Oas1a",0.22084321011935,1.61542277139589e-14,-2.17890561785332
"111","Igf1",0.540265295843488,1.61542277139589e-14,-0.88826008203643
"112","Blvrb",0.688250204726428,1.61542277139589e-14,-0.538994960923397
"113","Isg15",0.244377028361789,1.61542277139589e-14,-2.03281941785725
"114","Ctsb",0.742010778911209,1.61542277139589e-14,-0.430487950401395
"115","Snx3",0.670892932794769,1.61542277139589e-14,-0.575845548507902
"116","Dnaja1",0.592573326397503,4.72305810281002e-14,-0.754934407400397
"117","Ccdc50",0.610157332480672,4.72305810281002e-14,-0.712746797256544
"118","Pdia6",0.660999462286934,4.72305810281002e-14,-0.597278996764515
"119","Prdx1",0.690547094163001,6.19245395701758e-14,-0.534188287647222
"120","Samd9l",0.370889706340794,6.19245395701758e-14,-1.43093786699567
"121","B4galt1",1.59989878315572,7.61367289797244e-14,0.677980636576199
"122","Hgsnat",0.672100111201914,7.61367289797244e-14,-0.573251952393175
"123","Dock8",0.520783308077865,1.19853947555179e-13,-0.941244886282442
"124","Hsp90b1",0.680689037399424,1.19853947555179e-13,-0.554932219792128
"125","Tmem154",12.9925757888224,1.32695441936091e-13,3.69961556950521
"126","Psd3",0.35743750543213,1.32695441936091e-13,-1.48423707253355
"127","Cmah",0.301250077935033,1.60906283922504e-13,-1.73096648031166
"128","Clec4a2",0.676119032305312,2.17703459426399e-13,-0.564650836250911
"129","Ptpn18",0.725896165745738,2.44817947137904e-13,-0.462164899114242
"130","Arhgap19",0.531215361013978,2.85805567246965e-13,-0.912631229568732
"131","Tyrobp",0.765312484796341,3.40348614431501e-13,-0.385879159871253
"132","Stmn1",1.78776359489416,6.47392913688202e-13,0.838155974204158
"133","Trf",0.72076075783011,6.70461180308671e-13,-0.472407629830622
"134","Ralgps2",0.443867587746051,8.17958470441875e-13,-1.17179873135906
"135","Ucp2",1.35321226590478,8.53182545189089e-13,0.436388159306169
"136","Dusp1",1.63753174032408,1.2567038912771e-12,0.711522870719922
"137","Wwp1",0.701252138919699,1.27887636068841e-12,-0.511994828732226
"138","Ntpcr",0.569084549796644,1.27887636068841e-12,-0.813285082934542
"139","Ndfip1",1.36483457212553,1.28304081987127e-12,0.448726096612291
"140","Atp6v0a1",0.633768513530658,1.39330214032896e-12,-0.657972108410436
"141","Tsc22d3",1.49063737248815,1.52835033832774e-12,0.575929335728276
"142","Aoah",0.497923792795291,1.91006678392514e-12,-1.00600314008261
