X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,r
Olfml3,14747.34048,-2.365429838,0.130081959,-18.18414988,6.89E-74,4.46E-72,0.1
Cx3cr1,51013.06548,-1.285628676,0.113859631,-11.29134766,1.45E-29,1.49E-28,0.1
Cd74,4983.084384,-1.176889201,0.093471807,-12.59084678,2.37E-36,3.37E-35,0.1
C3,775.2674152,-1.404086635,0.131184765,-10.7031227,9.84E-27,8.88E-26,0.1
Itgax,351.5883062,-1.142434421,0.144396449,-7.911790272,2.54E-15,1.31E-14,0.1
Pik3ip1,830.5952678,2.967492515,0.39661512,7.482045851,7.32E-14,3.48E-13,0.5
Tspo,2843.395442,2.191994426,0.098541871,22.24429477,1.28E-109,3.95E-107,0.5
Ccl4,2083.371404,1.397648444,0.129872456,10.76170024,5.22E-27,4.80E-26,0.5
Ccl3,4057.182327,1.036864692,0.098136143,10.56557406,4.30E-26,3.78E-25,0.5
Tmem119,11166.18027,1.350701034,0.123929461,10.89895028,1.17E-27,1.11E-26,0.5
Il6,136.9816257,1.465587059,0.259355128,5.650889068,1.60E-08,5.39E-08,0.5
Il1b,3511.742786,1.457003376,0.108904031,13.37878275,8.05E-41,1.38E-39,0.5
Ep300,1369.51828,-2.412092512,0.123213165,-19.57658109,2.45E-85,2.57E-83,1
Crebbp,443.5965757,-3.434117571,0.199640984,-17.20146586,2.59E-66,1.19E-64,1
C1qa,111164.7946,1.533004667,0.088583635,17.30573218,4.26E-67,2.02E-65,1
Hexb,188900.4032,0.710700969,0.08152334,8.717760713,2.84E-18,1.71E-17,1
Phgdh,1301.76025,-0.947633831,0.101784872,-9.310163809,1.28E-20,8.67E-20,1
Fcrls,38551.46671,-0.373897027,0.122953981,-3.040950974,0.002358322,0.005018602,1
Zzz3,655.7556892,-0.819107406,0.13088117,-6.258405292,3.89E-10,1.47E-09,1
Zzef1,632.3324043,-1.864361423,0.126175398,-14.77595039,2.09E-49,5.11E-48,1
Zyx,1309.562716,-1.08709628,0.113977883,-9.537782725,1.46E-21,1.04E-20,1
Zyg11b,1119.212159,-1.56697715,0.120873423,-12.96378573,1.96E-38,3.05E-37,1
Zxdc,348.7657848,-0.795694881,0.156238369,-5.092826341,3.53E-07,1.08E-06,1
Zxdb,370.3410874,-1.161026336,0.156214408,-7.432261516,1.07E-13,5.04E-13,1
Zxda,138.1339952,-1.133065626,0.225647299,-5.021401233,5.13E-07,1.54E-06,1
Zwint,754.9623627,0.85048458,0.111882003,7.601620988,2.92E-14,1.42E-13,1
Zwilch,23.68825078,-0.61032292,0.499115717,-1.222808458,0.22140205,0.318020668,1
Zw10,243.2953962,0.038484678,0.165519441,0.232508509,0.816143079,0.873441655,1
Zufsp,338.2608787,-0.006786877,0.174882363,-0.038808242,0.969043274,0.979117248,1
Zswim8,1273.88221,-1.638891704,0.116978654,-14.01017745,1.35E-44,2.67E-43,1
Zswim7,143.0963982,2.276716366,0.2408748,9.451866136,3.33E-21,2.34E-20,1
Zswim6,580.6106533,-2.048138403,0.129763342,-15.78364409,4.03E-56,1.24E-54,1
Zswim5,61.73633878,-1.573328264,0.313037374,-5.026007743,5.01E-07,1.51E-06,1
Zswim4,358.7595099,-0.923399631,0.170907853,-5.402909316,6.56E-08,2.11E-07,1
Zswim3,71.61185049,0.036749154,0.300376711,0.122343554,0.90262694,0.937942799,1
Zswim1,87.79069554,-0.972326162,0.320727041,-3.03163138,0.00243236,0.005168347,1
Zscan29,517.0704508,-0.269422628,0.138960992,-1.938836384,0.052521264,0.089267739,1
Zscan26,1003.598836,-1.218716397,0.114857346,-10.61069616,2.66E-26,2.35E-25,1
Zscan25,179.6125582,-0.503770688,0.183347743,-2.747624154,0.006002878,0.012110656,1
Zscan22,135.7874206,-0.721295982,0.209883619,-3.436647339,0.000588962,0.00134544,1
Zscan21,266.4853344,0.507058862,0.154627761,3.279222693,0.001040935,0.002318638,1
Zscan20,84.94682232,-0.888247808,0.257480121,-3.449772369,0.000561059,0.001283772,1
Zscan2,154.6089527,0.119698602,0.197840466,0.605025877,0.545161803,0.658876297,1
Zscan18,80.5595169,-0.238564721,0.292461445,-0.815713406,0.41466407,0.53308567,1
Zscan12,129.4205473,0.042480688,0.225793182,0.188139819,0.850767048,0.897964274,1
Zscan10,1.263563042,-3.416121248,2.267198379,-1.506758862,0.131872478,0.203196642,1
Zrsr2,238.5498889,-0.234809382,0.171041214,-1.372823404,0.169807253,0.252922494,1
Zrsr1,407.8126764,0.00410682,0.151548156,0.027099108,0.978380687,0.984296558,1
Zranb3,52.66820474,-0.523200441,0.345914703,-1.512512874,0.13040344,0.201060851,1
Zranb2,835.9681914,-0.235677126,0.118717818,-1.985187476,0.047123617,0.080961218,1
Zranb1,192.547249,-0.639570453,0.180921709,-3.535067507,0.000407671,0.000945291,1
Zpr1,460.1852303,0.755774748,0.130072238,5.810423175,6.23E-09,2.17E-08,1
Zpld1,0.13086516,-0.207186936,4.080472857,-0.050775227,0.959504631,0.973384727,1
Zpbp2,0.13086516,-0.207186936,4.080472857,-0.050775227,0.959504631,0.973384727,1
Zpbp,17.56194413,0.286570083,0.528379635,0.542356412,0.587573001,0.695123006,1
Zp3,0.495369757,1.479518962,3.431131333,0.43120441,0.666319748,0.761121288,1
Znrf3,93.34273182,-1.579601469,0.257098309,-6.143958999,8.05E-10,2.96E-09,1
Znrf2,971.7765227,-0.198687414,0.106474545,-1.866055536,0.062033596,0.103782744,1
Znrf1,864.4523401,-0.649786346,0.108656838,-5.98016987,2.23E-09,8.00E-09,1
Znrd1as,98.07326589,1.02811794,0.241653239,4.254517531,2.10E-05,5.51E-05,1
Znrd1,332.029513,1.79251433,0.165034183,10.86147302,1.76E-27,1.66E-26,1
Znhit6,147.4277641,0.553667624,0.196790947,2.813481166,0.004900826,0.010003838,1
Znhit3,234.0052835,1.808439015,0.167967004,10.76663254,4.95E-27,4.56E-26,1
Znhit2,401.28233,1.567035187,0.164499966,9.526051749,1.63E-21,1.17E-20,1
Znhit1,571.3398613,1.49247218,0.130617174,11.42630888,3.09E-30,3.29E-29,1
Znfx1,1219.50577,-1.961194004,0.115976219,-16.91031168,3.78E-64,1.57E-62,1
Znf512b,268.071615,-1.533377385,0.165369093,-9.272454442,1.82E-20,1.23E-19,1
Znf41.ps,477.8540297,-0.190427039,0.181617154,-1.048507999,0.294404619,0.403777338,1
Zmynd8,746.0513231,-1.517788569,0.118426884,-12.81625009,1.33E-37,1.98E-36,1
Zmynd19,161.3607088,0.586993626,0.192198871,3.054095088,0.002257405,0.004812867,1
Zmynd15,31.20012992,-0.206893394,0.448603184,-0.461194662,0.644658951,0.746999689,1
Zmynd12,4.71328349,3.492590513,1.269110428,2.751998908,0.005923272,0.011958583,1
Zmynd11,1158.966428,-0.800798939,0.110600494,-7.240464368,4.47E-13,2.03E-12,1
Zmynd10,14.40715231,1.75261028,0.688038541,2.54725597,0.010857376,0.021042342,1
Zmym6,459.7339735,-1.164921587,0.148493299,-7.844943801,4.33E-15,2.20E-14,1
Zmym5,501.2981094,-0.634971034,0.149964015,-4.234155994,2.29E-05,6.01E-05,1
Zmym4,522.4749927,-1.313974495,0.137661989,-9.544933264,1.36E-21,9.76E-21,1
Zmym3,636.7384623,-0.948913349,0.133863727,-7.088651772,1.35E-12,5.94E-12,1
Zmym2,757.7383546,-0.785602522,0.139212433,-5.643192233,1.67E-08,5.62E-08,1
Zmym1,130.2865983,-0.474035929,0.231516149,-2.047528565,0.040606215,0.070701557,1
Zmpste24,1253.906748,-0.045141451,0.099333834,-0.45444184,0.649510844,0.750824094,1
Zmiz2,801.4869133,-2.185930275,0.126499439,-17.28015779,6.64E-67,3.11E-65,1
Zmiz1,3068.529779,-2.959107599,0.094575535,-31.28829881,6.73E-215,1.90E-211,1
Zmat5,344.9944966,1.697300318,0.194180737,8.740827445,2.31E-18,1.40E-17,1
Zmat4,0.250913904,-1.085504064,4.039347368,-0.268732536,0.788135512,0.853293117,1
Zmat3,97.68128897,-1.71331434,0.262439279,-6.528421923,6.65E-11,2.61E-10,1
Zmat2,1152.848784,1.341036299,0.104153702,12.87555097,6.18E-38,9.41E-37,1
Zmat1,94.63848421,-1.182800038,0.264297823,-4.475254566,7.63E-06,2.09E-05,1
Zkscan8,419.1513195,-2.063518722,0.165385847,-12.47699705,9.97E-36,1.37E-34,1
Zkscan7,59.11591149,-1.208569596,0.313303603,-3.857503022,0.000114551,0.000281869,1
Zkscan6,298.3775474,0.534717392,0.153598218,3.481273402,0.000499036,0.001147424,1
Zkscan5,172.4801954,0.081099149,0.184248129,0.440162671,0.659819294,0.759018047,1
