,cWT-1,cWT-2,cKO-1,cKO-2
AC125149.3,0,0,0,0
AC125149.5,0,0,0,0
AC125149.2,0,0,0,0
AC125149.1,0,0,0,0
AC125149.4,0,0,0,0
AC133103.4,0,0,0,0
AC133103.6,0,0,0,0
AC133103.5,0,0,0,0
AC133103.3,0,0,0,0
AC133103.7,0,0,0,0
AC133103.1,0,0,0,1
AC168977.2,0,0,0,0
AC168977.1,3,1,3,5
CAAA01118383.1,263,233,288,245
Vmn1r186,0,0,0,0
AC102264.1,0,0,0,0
AC132444.1,0,0,0,0
AC132444.3,0,0,0,0
AC132444.4,0,0,0,0
Csprs,0,0,0,0
AC132444.5,0,0,0,0
AC132444.2,0,0,0,0
AC132444.6,0,0,0,0
Vamp7,436,415,398,297
Spry3,0,0,0,0
CAAA01165726.1,0,0,0,0
Tmlhe,17,20,8,12
AC087559.3,0,0,0,0
AC087559.2,0,0,0,0
AC140325.1,0,0,0,0
AC140325.3,0,0,0,0
AC140325.2,0,0,0,0
AC140325.4,0,0,0,0
Vmn2r122,0,0,0,0
CR974586.2,0,0,0,0
CR974586.3,0,0,0,0
CR974586.5,0,0,0,0
CR974586.1,0,0,0,0
CR974586.4,0,0,0,0
4933409K07Rik,0,0,0,0
CT868723.1,0,0,0,0
Gm10931,0,0,0,0
CAAA01147332.1,21,14,22,11
AC164084.2,0,0,0,0
AC164084.3,0,0,0,0
AC164084.1,0,0,0,0
AC165294.1,0,0,0,0
AC165294.3,0,0,0,0
AC165294.2,0,0,0,0
AC125178.3,0,0,0,0
AC125178.1,0,0,0,0
AC125178.2,0,0,0,0
AC133095.2,0,0,0,0
AC123873.3,0,0,0,0
AC123873.1,0,0,0,0
AC123873.2,0,0,0,0
AC126035.1,0,0,0,0
Gm16367,0,0,0,0
AC163611.1,0,0,0,0
AC163611.2,0,0,0,0
AC140365.1,0,0,0,0
AC124606.2,0,0,0,0
AC124606.1,0,0,0,0
AC133095.1,0,0,0,0
AC234645.1,0,0,0,0
AC149090.1,1744,1902,1188,796
Xkr4,0,0,0,0
Gm19938,0,0,0,0
Gm37381,0,0,0,0
Rp1,0,0,0,0
Sox17,1,9,4,2
Gm37323,0,0,0,0
Mrpl15,223,175,195,104
Rgs20,0,1,2,4
Npbwr1,0,0,0,0
4732440D04Rik,42,18,49,27
Gm26901,0,0,4,3
Sntg1,0,0,0,0
2610203C22Rik,328,260,187,148
Gm29520,0,0,0,0
Mybl1,9,5,16,9
Vcpip1,1219,1076,1130,1147
Snhg6,702,323,1065,684
Tcf24,19,17,20,12
Ppp1r42,1,0,0,0
Cops5,643,586,731,555
Arfgef1,1002,933,1020,865
Cpa6,0,0,0,0
Gm29663,0,0,0,0
Slco5a1,0,0,0,1
Prdm14,0,1,0,0
Ncoa2,579,547,711,592
Tram1,3185,3056,2776,2591
Lactb2,793,704,827,635
Eya1,1,2,0,0
Msc,0,0,0,0
Trpa1,0,0,0,0
Sbspon,1,2,3,2
4930444P10Rik,3,2,4,0
Rpl7,14501,9444,16566,12338
Stau2,108,84,109,111
Ube2w,142,73,122,89
Eloc,2046,1407,1778,1221
Jph1,0,0,0,0
Gm28154,0,0,0,0
Gm16070,0,0,0,0
Gm28153,0,0,0,0
Gm28756,0,0,0,0
Crisp4,0,0,0,0
Defb18,0,0,0,0
Defb41,0,0,0,0
Gm15825,0,0,0,0
Pkhd1,0,0,0,0
Il17f,1,0,2,2
Mcm3,484,426,542,441
6720483E21Rik,0,0,0,0
Tram2,204,174,203,218
Gm28836,0,0,0,0
Kcnq5,0,0,0,0
Rims1,0,2,2,1
Gm29506,0,0,0,0
