,cWT-1,cWT-2,cKO-1,cKO-2
AC125149.3,4,0,1,2
AC125149.5,0,0,0,0
AC125149.2,0,0,0,0
AC125149.1,0,0,1,0
AC125149.4,0,0,0,0
AC133103.4,0,0,0,0
AC133103.6,0,0,0,0
AC133103.5,0,0,0,1
AC133103.3,0,0,0,0
AC133103.7,0,0,0,0
AC133103.1,0,3,1,2
AC168977.2,0,0,0,0
AC168977.1,0,0,2,1
CAAA01118383.1,310,282,522,529
Vmn1r186,0,0,0,0
AC102264.1,0,0,0,0
AC132444.1,0,0,0,0
AC132444.3,0,0,0,0
AC132444.4,0,0,0,0
Csprs,0,0,0,0
AC132444.5,2,1,1,1
AC132444.2,0,0,0,0
AC132444.6,0,0,0,0
Vamp7,139,132,128,99
Spry3,0,0,0,0
CAAA01165726.1,0,0,0,1
Tmlhe,1284,1169,919,980
AC087559.3,0,0,0,0
AC087559.2,0,0,0,0
AC140325.1,0,0,0,0
AC140325.3,0,0,0,0
AC140325.2,0,0,0,0
AC140325.4,0,0,0,0
Vmn2r122,0,0,0,0
CR974586.2,0,0,0,0
CR974586.3,0,0,0,0
CR974586.5,0,0,0,0
CR974586.1,0,0,0,0
CR974586.4,0,0,0,0
4933409K07Rik,0,0,0,0
CT868723.1,0,0,0,0
Gm10931,0,0,0,0
CAAA01147332.1,4,5,5,3
AC164084.2,0,0,0,0
AC164084.3,0,0,0,0
AC164084.1,0,0,0,0
AC165294.1,0,0,0,0
AC165294.3,0,0,0,0
AC165294.2,0,0,0,0
AC125178.3,0,0,0,0
AC125178.1,0,0,0,0
AC125178.2,0,0,0,0
AC133095.2,0,0,0,0
AC123873.3,0,0,0,0
AC123873.1,0,0,0,0
AC123873.2,0,0,0,0
AC126035.1,0,0,0,0
Gm16367,0,0,0,0
AC163611.1,0,0,0,0
AC163611.2,0,0,0,0
AC140365.1,0,0,0,0
AC124606.2,0,0,0,0
AC124606.1,0,0,0,0
AC133095.1,0,0,0,0
AC234645.1,0,0,0,0
AC149090.1,1144,1151,654,390
Xkr4,158,103,346,260
Gm19938,0,0,0,0
Gm37381,0,0,0,0
Rp1,3,0,0,1
Sox17,0,1,0,0
Gm37323,0,0,0,0
Mrpl15,93,81,119,116
