group	PeakID (cmd=annotatePeaks.pl Common_optimal.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Common	primary_peak_3785	chr10	119239401	119240722	+	1000	NA	promoter-TSS (NM_027994)	promoter-TSS (NM_027994)	-6	NM_027994	71902	Mm.203965	NM_027994	ENSMUSG00000020114	Cand1	2310038O07Rik|6330512O03Rik|AI195005|AI846556|D10Ertd516e|Tp120a|mKIAA0829	cullin associated and neddylation disassociated 1	protein-coding
Common	primary_peak_116	chr1	30949014	30950437	+	1000	NA	promoter-TSS (NM_011200)	promoter-TSS (NM_011200)	-15	NR_002688	433406	Mm.389003	NR_002688		Gm13363	-	predicted gene 13363	pseudo
Common	primary_peak_12704	chr16	56037396	56038069	+	1000	NA	promoter-TSS (NM_029092)	promoter-TSS (NM_029092)	42	NM_029092	52575	Mm.288742	NM_029092	ENSMUSG00000044763	Trmt10c	1300018J16Rik|D16Ertd454e|Rg9mtd1|Rnmtd1	tRNA methyltransferase 10C, mitochondrial RNase P subunit	protein-coding
Common	primary_peak_12770	chr16	70313781	70314809	+	1000	NA	exon (NM_028803, exon 1 of 16)	exon (NM_028803, exon 1 of 16)	346	NM_028803	74185	Mm.396102	NM_028803	ENSMUSG00000022707	Gbe1	2310045H19Rik|2810426P10Rik|D16Ertd536e	glucan (1,4-alpha-), branching enzyme 1	protein-coding
Common	primary_peak_3535	chr10	96332574	96333616	+	1000	NA	Intergenic	Intergenic	106888	NR_110448	74881	Mm.410819	NR_110448	ENSMUSG00000112762	4930459C07Rik	-	RIKEN cDNA 4930459C07 gene	ncRNA
Common	primary_peak_14520	chr17	83513740	83514790	+	1000	NA	promoter-TSS (NM_009187)	promoter-TSS (NM_009187)	68	NM_001159529	20463	Mm.30072	NM_009187	ENSMUSG00000024248	Cox7a2l	COX7AR|COX7RP|EB1|SIG-81|SIG81|Silg81	cytochrome c oxidase subunit 7A2 like	protein-coding
Common	primary_peak_19425	chr3	20057392	20058168	+	1000	NA	promoter-TSS (NM_009210)	promoter-TSS (NM_009210)	-31	NM_009210	20585	Mm.209650	NM_009210	ENSMUSG00000002428	Hltf	AF010600|BC057116|P113|Smarca3|Snf2l3	helicase-like transcription factor	protein-coding
Common	primary_peak_31178	chr9	25251708	25252961	+	1000	NA	promoter-TSS (NM_009859)	promoter-TSS (NM_009859)	-105	NM_009859	235072	Mm.270259	NM_009859	ENSMUSG00000001833	7-Sep	Cdc10|E430034N22	septin 7	protein-coding
Common	primary_peak_3670	chr10	111298236	111299071	+	1000	NA	promoter-TSS (NM_027914)	promoter-TSS (NM_027914)	-26	NM_027914	71769	Mm.45256	NM_027914	ENSMUSG00000035759	Bbs10	1300007O09Rik|AI452285	Bardet-Biedl syndrome 10 (human)	protein-coding
Common	primary_peak_28427	chr7	98655671	98656462	+	1000	NA	intron (NM_172280, intron 1 of 19)	CpG	503	NM_172280	233545	Mm.387819	NM_172280	ENSMUSG00000035401	Emsy	2210018M11Rik|2310016L09Rik|AU019521|AU019557	EMSY, BRCA2-interacting transcriptional repressor	protein-coding
